# Adami+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...620A...5A/abstract)
# http://cosmosdb.iasf-milano.inaf.it/XXL/
#
# XXL Database
# File    : .txt.gz
# Date    : 2020-11-03 18:58
# Table   : XXL_365_GC
# Columns : 28
# Rows    : 365
# SQL     : SELECT XXL_365_GC.identifier, XXL_365_GC.xlssc, XXL_365_GC.
#           ra, XXL_365_GC.decl, XXL_365_GC.z, XXL_365_GC.ngal, XXL_365
#           _GC.class, XXL_365_GC.Mgas500kpc, XXL_365_GC.Mgas500kpc_m, 
#           XXL_365_GC.Mgas500kpc_p, XXL_365_GC.r500mt, XXL_365_GC.T300
#           kpc, XXL_365_GC.T300kpc_m, XXL_365_GC.T300kpc_p, XXL_365_GC
#           .LXXL500MT, XXL_365_GC.LXXL500MT_err, XXL_365_GC.f60, XXL_3
#           65_GC.f60_err, XXL_365_GC.flag, XXL_365_GC.tab, XXL_365_GC.
#           T300kpcscal , XXL_365_GC.T300kpcscal_err, XXL_365_GC.r500sc
#           al, XXL_365_GC.r500scal_err, XXL_365_GC.M500scal, XXL_365_G
#           C.M500scal_err, XXL_365_GC.Lbol500scal, XXL_365_GC.Lbol500s
#           cal_err FROM XXL_365_GC
# identifier	xlssc	ra	decl	z	ngal	class	Mgas500kpc	Mgas500kpc_m	Mgas500kpc_p	r500mt	T300kpc	T300kpc_m	T300kpc_p	LXXL500MT	LXXL500MT_err	f60	f60_err	flag	tab	T300kpcscal	T300kpcscal_err	r500scal	r500scal_err	M500scal	M500scal_err	Lbol500scal	Lbol500scal_err
# VARCHAR	INTEGER	DOUBLE	DOUBLE	FLOAT	INTEGER	INTEGER	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	FLOAT	FLOAT	CHAR	CHAR	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	DOUBLE	DOUBLE
# --	--	deg	deg		--	--	1E11 solar mass	1E11 solar mass	1E11 solar mass	kpc	keV	keV	keV	1E42 erg/s	1E42 erg/s	1E-15 erg/cm2/s	1E-15 erg/cm2/s	--	--	keV	keV	kpc	kpc	1E13 solar mass	1E13 solar mass	1E42 erg/s	1E42 erg/s
XLSSC 069	069	36.542	-4.522	0.824	8	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 017	017	36.614	-5.000	0.383	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	10	3	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 014	014	36.641	-4.063	0.344	7	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	9	4	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 033	033	36.717	-4.166	0.345	8	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	8	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 070	070	36.863	-4.903	0.301	9	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 031	031	36.912	-3.436	0.277	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	3		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 125	125	36.942	-3.736	0.054	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 074	074	37.034	-5.595	0.192	7	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	5	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 012	012	37.116	-4.435	0.435	6	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	2	+,l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 016	016	37.119	-4.995	0.332	8	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	3	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 552	552	350.629	-54.269	0.150	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	580	10	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J021210.6-061235	081	33.044	-6.210	0.426	2	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	28	5	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J021825.9-045947	000	34.608	-4.997	1.132	1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	1		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J232704.6-525831	000	351.769	-52.975	0.583	1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	26	4	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J233116.6-550737	000	352.819	-55.127	1.296	1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	2		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J020604.1-072432	000	31.517	-7.409	0.563	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	3		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J020720.0-060936	000	31.833	-6.160	0.460	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	3		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J021803.5-055524	000	34.514	-5.923	0.450	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	29	5	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J022043.7-030106	000	35.182	-3.019	0.160	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	18	5	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J231609.8-541617	000	349.041	-54.272	0.288	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	2		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J232713.5-560337	000	351.806	-56.061	0.920	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	22	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J232801.9-545545	000	352.008	-54.929	0.960	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	21	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J233407.0-523709	000	353.529	-52.619	0.560	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	14	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J233531.3-543511	516	353.881	-54.586	0.866	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	31	4	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J233706.8-541910	000	354.279	-54.320	0.524	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	14	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J233948.0-541126	000	354.950	-54.191	0.738	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	10	3		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J234137.0-545208	000	355.404	-54.869	0.597	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J234154.7-550746	000	355.478	-55.129	0.630	-1	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J021604.6-032625	000	34.021	-3.440	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	16	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J022157.6-034002	000	35.490	-3.666	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	9	1		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J022732.0-031456	000	36.883	-3.248	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	1		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J231731.6-551424	000	349.382	-55.240	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	27	4	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J231639.5-553418	000	349.165	-55.572	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	20	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J232624.8-524209	000	351.603	-52.703	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	21	3	l	G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
#3XLSS J234550.2-535247	000	356.459	-53.880	-1.000	0	1	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	8	3		G2	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
